ID,SMILES,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,a_acid,a_aro,a_base,a_nBr,a_nCl,a_nF,a_nI,a_nN,a_nO,b_rotR,chiral,FCharge
DBB8093,[P+](=O)(O[P+](=O)(OCC1C(O)C(O)C(N2C(=O)NC(=N)C=C2)O1)[O-])(OCC(OC(=O)CCCCCCCCCC=CCCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-],17,4,9.8404703,259.89999,980.12402,0.82608694,66,2,20,41,0,1,0,1,1,4,0,0,0,0,0,0,3,15,0.64179105,5,0
DBB8094,[P+](=O)(O[P+](=O)(OCC1C(O)C(O)C(N2C(=O)NC(=N)C=C2)O1)[O-])(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-],17,4,9.8404703,259.89999,980.12402,0.82608694,66,2,20,41,0,1,0,1,1,4,0,0,0,0,0,0,3,15,0.64179105,5,0
DBB8095,[P+](=O)(O[P+](=O)(OCC1C(O)C(O)C(N2C(=O)NC(=N)C=C2)O1)[O-])(OCC(OC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-],17,4,9.6164703,259.89999,978.10797,0.78260869,66,2,20,40,0,1,0,1,1,4,0,0,0,0,0,0,3,15,0.62686568,5,0
DBB8096,[P+](=O)(O[P+](=O)(OCC1C(O)C(O)C(N2C(=O)NC(=N)C=C2)O1)[O-])(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC)[O-],17,4,10.06447,259.89999,982.14001,0.86956519,66,2,20,42,0,1,0,1,1,4,0,0,0,0,0,0,3,15,0.65671641,5,0
DBB8097,[P+](=O)(O[P+](=O)(OCC1C(O)C(O)C(N2C(=O)NC(=N)C=C2)O1)[O-])(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCC=CCCCCCC)[O-],17,4,9.8404703,259.89999,980.12402,0.82608694,66,2,20,41,0,1,0,1,1,4,0,0,0,0,0,0,3,15,0.64179105,5,0
DBB8098,[P+](=O)(O[P+](=O)(OCC1C(O)C(O)C(N2C(=O)NC(=N)C=C2)O1)[O-])(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)[O-],17,4,9.8404703,259.89999,980.12402,0.82608694,66,2,20,41,0,1,0,1,1,4,0,0,0,0,0,0,3,15,0.64179105,5,0
DBB8099,P(=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.9524,111.19,818.21503,0.95652175,56,0,10,44,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.83636361,1,0
DBB8100,P(=O)(OCC(OC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.7284,111.19,816.19897,0.9130435,56,0,10,43,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.81818181,1,0
DBB8101,P(=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCC=CCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.7284,111.19,816.19897,0.9130435,56,0,10,43,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.81818181,1,0
DBB8102,P(=O)(OCC(OC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.5044,111.19,814.18298,0.86956519,56,0,10,42,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.80000001,1,0
